,Date,Time,Home_Team,Home_Pts,Away_Team,Away_Points
0,2023-12-31,7:00p,BRK,,OKC,
0,2023-12-31,7:00p,BOS,,SAS,
0,2023-12-31,8:00p,SAC,,MEM,
0,2023-12-31,8:00p,ORL,,PHO,
0,2024-01-01,3:00p,MIN,,NYK,
0,2024-01-01,7:30p,CLE,,TOR,
0,2024-01-01,8:00p,DET,,HOU,
0,2024-01-01,8:00p,IND,,MIL,
0,2024-01-01,9:00p,CHO,,DEN,
0,2024-01-01,9:00p,POR,,PHO,
0,2024-01-01,9:00p,DAL,,UTA,
0,2024-01-01,10:30p,MIA,,LAC,
0,2024-01-02,7:00p,CHI,,PHI,
0,2024-01-02,8:00p,SAS,,MEM,
0,2024-01-02,8:00p,BRK,,NOP,
0,2024-01-02,8:00p,BOS,,OKC,
0,2024-01-02,10:00p,ORL,,GSW,
0,2024-01-02,10:00p,CHO,,SAC,
0,2024-01-03,7:00p,WAS,,CLE,
0,2024-01-03,7:00p,MIL,,IND,
0,2024-01-03,7:30p,OKC,,ATL,
0,2024-01-03,8:00p,BRK,,HOU,
0,2024-01-03,8:00p,TOR,,MEM,
0,2024-01-03,8:00p,NOP,,MIN,
0,2024-01-03,8:30p,POR,,DAL,
0,2024-01-03,8:30p,CHI,,NYK,
0,2024-01-03,9:00p,LAC,,PHO,
0,2024-01-03,9:00p,DET,,UTA,
0,2024-01-03,10:00p,MIA,,LAL,
0,2024-01-03,10:00p,ORL,,SAC,
0,2024-01-04,7:30p,MIL,,SAS,
0,2024-01-04,10:00p,DEN,,GSW,
0,2024-01-05,7:00p,UTA,,BOS,
0,2024-01-05,7:00p,ATL,,IND,
0,2024-01-05,7:30p,OKC,,BRK,
0,2024-01-05,7:30p,WAS,,CLE,
0,2024-01-05,7:30p,NYK,,PHI,
0,2024-01-05,8:00p,CHO,,CHI,
0,2024-01-05,8:00p,MIN,,HOU,
0,2024-01-05,8:00p,LAC,,NOP,
0,2024-01-05,8:30p,POR,,DAL,
0,2024-01-05,9:00p,ORL,,DEN,
0,2024-01-05,9:00p,MIA,,PHO,
0,2024-01-05,10:00p,DET,,GSW,
0,2024-01-05,10:00p,MEM,,LAL,
0,2024-01-05,10:00p,TOR,,SAC,
0,2024-01-06,7:00p,BOS,,IND,
0,2024-01-06,7:00p,NYK,,WAS,
0,2024-01-06,7:30p,UTA,,PHI,
0,2024-01-06,8:00p,MIL,,HOU,
0,2024-01-07,1:00p,SAS,,CLE,
0,2024-01-07,3:00p,POR,,BRK,
0,2024-01-07,6:00p,ATL,,ORL,
0,2024-01-07,6:00p,NOP,,SAC,
0,2024-01-07,7:30p,MIN,,DAL,
0,2024-01-07,8:00p,DET,,DEN,
0,2024-01-07,8:00p,MEM,,PHO,
0,2024-01-07,8:30p,TOR,,GSW,
0,2024-01-07,9:30p,LAC,,LAL,
0,2024-01-08,7:00p,CHI,,CHO,
0,2024-01-08,7:00p,BOS,,IND,
0,2024-01-08,7:00p,OKC,,WAS,
0,2024-01-08,7:30p,HOU,,MIA,
0,2024-01-08,8:00p,UTA,,MIL,
0,2024-01-08,10:30p,PHO,,LAC,
0,2024-01-09,7:00p,SAC,,DET,
0,2024-01-09,7:00p,MIN,,ORL,
0,2024-01-09,7:30p,POR,,NYK,
0,2024-01-09,8:30p,MEM,,DAL,
0,2024-01-09,10:30p,TOR,,LAL,
0,2024-01-10,7:00p,MIN,,BOS,
0,2024-01-10,7:00p,SAC,,CHO,
0,2024-01-10,7:00p,SAS,,DET,
0,2024-01-10,7:00p,WAS,,IND,
0,2024-01-10,7:30p,PHI,,ATL,
0,2024-01-10,7:30p,OKC,,MIA,
0,2024-01-10,8:00p,HOU,,CHI,
0,2024-01-10,8:30p,NOP,,GSW,
0,2024-01-10,10:00p,DEN,,UTA,
0,2024-01-10,10:30p,TOR,,LAC,
0,2024-01-11,2:00p,BRK,,CLE,
0,2024-01-11,7:30p,BOS,,MIL,
0,2024-01-11,8:00p,POR,,OKC,
0,2024-01-11,8:30p,NYK,,DAL,
